# Export File Created with QBlade CE v 2.0.6.4_beta windows on 22.05.2024 at 06:18:10
                        newCurve  AH_93-W-257_Re1.000_M0.00_N9.0
 Angle of Attack [deg] Lift Coefficient Cl [-] Angle of Attack [deg] Lift Coefficient Cl [-]
   1.0500000e+01   1.5655000e+00  -1.5000000e+01  -1.0956000e+00
                                  -1.4500000e+01  -1.1030000e+00
                                  -1.4000000e+01  -1.0991000e+00
                                  -1.3500000e+01  -1.1021000e+00
                                  -1.3000000e+01  -1.0935000e+00
                                  -1.2500000e+01  -1.0931000e+00
                                  -1.2000000e+01  -1.0743999e+00
                                  -1.1500000e+01  -1.0611000e+00
                                  -1.1000000e+01  -1.0419000e+00
                                  -1.0500000e+01  -1.0006000e+00
                                  -1.0000000e+01  -9.4599998e-01
                                  -9.5000000e+00  -8.8340002e-01
                                  -9.0000000e+00  -8.1800002e-01
                                  -8.5000000e+00  -7.4570000e-01
                                  -8.0000000e+00  -6.7820001e-01
                                  -7.5000000e+00  -6.0920000e-01
                                  -7.0000000e+00  -5.4250002e-01
                                  -6.5000000e+00  -4.7700000e-01
                                  -6.0000000e+00  -4.1020000e-01
                                  -5.5000000e+00  -3.4410000e-01
                                  -5.0000000e+00  -2.7910000e-01
                                  -4.5000000e+00  -2.1460000e-01
                                  -4.0000000e+00  -1.4890000e-01
                                  -3.5000000e+00  -8.3300002e-02
                                  -3.0000000e+00  -1.8500000e-02
                                  -2.5000000e+00   4.6100002e-02
                                  -2.0000000e+00   1.1130000e-01
                                  -1.5000000e+00   1.7580000e-01
                                  -1.0000000e+00   2.3960000e-01
                                  -5.0000000e-01   3.0280000e-01
                                   0.0000000e+00   3.6690000e-01
                                   5.0000000e-01   4.3099999e-01
                                   1.0000000e+00   4.9460000e-01
                                   1.5000000e+00   5.5800003e-01
                                   2.0000000e+00   6.2110001e-01
                                   2.5000000e+00   6.8409997e-01
                                   3.0000000e+00   7.4629998e-01
                                   3.5000000e+00   8.0750000e-01
                                   4.0000000e+00   8.6979997e-01
                                   4.5000000e+00   9.3199998e-01
                                   5.0000000e+00   9.9379998e-01
                                   5.5000000e+00   1.0554000e+00
                                   6.0000000e+00   1.1156000e+00
                                   6.5000000e+00   1.1743000e+00
                                   7.0000000e+00   1.2352999e+00
                                   7.5000000e+00   1.2943000e+00
                                   8.0000000e+00   1.3500000e+00
                                   8.5000000e+00   1.4078000e+00
                                   9.0000000e+00   1.4600000e+00
                                   9.5000000e+00   1.5085000e+00
                                   1.0000000e+01   1.5477999e+00
                                   1.0500000e+01   1.5655000e+00
                                   1.1000000e+01   1.5603000e+00
                                   1.1500000e+01   1.5491000e+00
                                   1.2000000e+01   1.5386000e+00
                                   1.2500000e+01   1.5249000e+00
                                   1.3000000e+01   1.5063000e+00
                                   1.3500000e+01   1.4835000e+00
                                   1.4000000e+01   1.4719000e+00
                                   1.4500000e+01   1.4651000e+00
                                   1.5000000e+01   1.4511000e+00
                                   1.5500000e+01   1.4546000e+00
                                   1.6000000e+01   1.4444000e+00
                                   1.6500000e+01   1.4513000e+00
                                   1.7000000e+01   1.4418000e+00
                                   1.7500000e+01   1.4463000e+00
                                   1.8000000e+01   1.4506000e+00
                                   1.8500000e+01   1.4421000e+00
                                   1.9000000e+01   1.4505000e+00
                                   1.9500000e+01   1.4490000e+00
                                   2.0000000e+01   1.4498000e+00
                                   2.0500000e+01   1.4525000e+00
                                   2.1000000e+01   1.4376000e+00
                                   2.1500000e+01   1.4459000e+00
                                   2.2000000e+01   1.4439000e+00
                                   2.2500000e+01   1.4514000e+00
                                   2.3000000e+01   1.4499000e+00
                                   2.3500000e+01   1.4535000e+00
                                   2.4000000e+01   1.4578000e+00
                                   2.4500000e+01   1.4507000e+00
                                   2.5000000e+01   1.4554000e+00
                                   2.5500000e+01   1.4489000e+00
                                   2.6000000e+01   1.4519000e+00
                                   2.6500000e+01   1.4437000e+00
                                   2.7000000e+01   1.4457999e+00
                                   2.7500000e+01   1.4388000e+00
                                   2.8000000e+01   1.4377000e+00
                                   2.8500000e+01   1.4346000e+00
                                   2.9000000e+01   1.4204000e+00
                                   2.9500000e+01   1.4098001e+00
                                   3.0000000e+01   1.3983999e+00
