# Export File Created with QBlade CE v 2.0.6.4_beta windows on 22.05.2024 at 06:18:26
                        newCurve  AH_93-W-257_Re1.000_M0.00_N9.0
 Angle of Attack [deg] Glide Ratio Cl/Cd [-] Angle of Attack [deg] Glide Ratio Cl/Cd [-]
   1.0500000e+01   9.8707443e+01  -1.5000000e+01  -2.0848715e+01
                                  -1.4500000e+01  -2.3543222e+01
                                  -1.4000000e+01  -2.6008045e+01
                                  -1.3500000e+01  -2.9722221e+01
                                  -1.3000000e+01  -3.2916916e+01
                                  -1.2500000e+01  -3.8233646e+01
                                  -1.2000000e+01  -4.1985149e+01
                                  -1.1500000e+01  -4.7160000e+01
                                  -1.1000000e+01  -5.2781155e+01
                                  -1.0500000e+01  -5.7571922e+01
                                  -1.0000000e+01  -5.9759949e+01
                                  -9.5000000e+00  -6.2608078e+01
                                  -9.0000000e+00  -6.1735847e+01
                                  -8.5000000e+00  -6.2822243e+01
                                  -8.0000000e+00  -5.9543461e+01
                                  -7.5000000e+00  -5.6407406e+01
                                  -7.0000000e+00  -5.1864246e+01
                                  -6.5000000e+00  -4.6400780e+01
                                  -6.0000000e+00  -4.1350807e+01
                                  -5.5000000e+00  -3.5510838e+01
                                  -5.0000000e+00  -2.9103233e+01
                                  -4.5000000e+00  -2.2354166e+01
                                  -4.0000000e+00  -1.5773305e+01
                                  -3.5000000e+00  -8.9666309e+00
                                  -3.0000000e+00  -2.0065076e+00
                                  -2.5000000e+00   5.0054288e+00
                                  -2.0000000e+00   1.2257710e+01
                                  -1.5000000e+00   1.9382580e+01
                                  -1.0000000e+00   2.6243155e+01
                                  -5.0000000e-01   3.2489269e+01
                                   0.0000000e+00   3.9451614e+01
                                   5.0000000e-01   4.6393970e+01
                                   1.0000000e+00   5.2955032e+01
                                   1.5000000e+00   5.9361702e+01
                                   2.0000000e+00   6.5586060e+01
                                   2.5000000e+00   7.2010529e+01
                                   3.0000000e+00   7.7497406e+01
                                   3.5000000e+00   8.1155777e+01
                                   4.0000000e+00   8.6719841e+01
                                   4.5000000e+00   9.2277229e+01
                                   5.0000000e+00   9.7335945e+01
                                   5.5000000e+00   1.0276534e+02
                                   6.0000000e+00   1.0747591e+02
                                   6.5000000e+00   1.0974767e+02
                                   7.0000000e+00   1.1501862e+02
                                   7.5000000e+00   1.1863428e+02
                                   8.0000000e+00   1.1946902e+02
                                   8.5000000e+00   1.2188744e+02
                                   9.0000000e+00   1.2086092e+02
                                   9.5000000e+00   1.1822100e+02
                                   1.0000000e+01   1.1127247e+02
                                   1.0500000e+01   9.8707443e+01
                                   1.1000000e+01   8.5777901e+01
                                   1.1500000e+01   6.9094559e+01
                                   1.2000000e+01   5.4560284e+01
                                   1.2500000e+01   4.4161598e+01
                                   1.3000000e+01   3.6534077e+01
                                   1.3500000e+01   3.0587629e+01
                                   1.4000000e+01   2.6756954e+01
                                   1.4500000e+01   2.3970877e+01
                                   1.5000000e+01   2.1202513e+01
                                   1.5500000e+01   1.9694016e+01
                                   1.6000000e+01   1.7812307e+01
                                   1.6500000e+01   1.6836428e+01
                                   1.7000000e+01   1.5453376e+01
                                   1.7500000e+01   1.4657950e+01
                                   1.8000000e+01   1.3917298e+01
                                   1.8500000e+01   1.2907008e+01
                                   1.9000000e+01   1.2399555e+01
                                   1.9500000e+01   1.1718560e+01
                                   2.0000000e+01   1.1160893e+01
                                   2.0500000e+01   1.0691153e+01
                                   2.1000000e+01   9.9467239e+00
                                   2.1500000e+01   9.6567154e+00
                                   2.2000000e+01   9.2433262e+00
                                   2.2500000e+01   9.0137873e+00
                                   2.3000000e+01   8.6499224e+00
                                   2.3500000e+01   8.3712492e+00
                                   2.4000000e+01   8.1128607e+00
                                   2.4500000e+01   7.7140274e+00
                                   2.5000000e+01   7.4862404e+00
                                   2.5500000e+01   7.1290102e+00
                                   2.6000000e+01   6.9049315e+00
                                   2.6500000e+01   6.5607815e+00
                                   2.7000000e+01   6.3498616e+00
                                   2.7500000e+01   6.0535173e+00
                                   2.8000000e+01   5.8348212e+00
                                   2.8500000e+01   5.6091647e+00
                                   2.9000000e+01   5.2909184e+00
                                   2.9500000e+01   5.0256667e+00
                                   3.0000000e+01   4.7725334e+00
