QBlade CE v 2.0.6.4_beta windows

 Calculated polar for: AH 93-W-300

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000

alpha    CL       CD       CDp      Cm       TopXtr   BotXtr   Cpmin    Chinge   XCp      
------   ------   ------   ------   ------   ------   ------   ------   ------   ------   
-15.000  -1.1054  0.04181  0.03746  -0.0488  0.0000   0.0000   0.0000   0.0000   0.0000   
-14.500  -1.1157  0.03746  0.03312  -0.0463  0.0000   0.0000   3.5908   0.0000   0.0000   
-14.000  -1.0817  0.03295  0.02857  -0.0514  0.0000   0.0000   0.0000   0.0000   0.0000   
-13.500  -1.0458  0.02800  0.02353  -0.0581  0.0000   0.0000   3.3460   0.0000   0.0000   
-13.000  -1.0251  0.02556  0.02084  -0.0572  0.0000   0.0000   0.0000   0.0000   0.0000   
-12.500  -1.0180  0.02211  0.01724  -0.0560  0.0000   0.0000   3.1576   0.0000   0.0000   
-12.000  -0.9989  0.01942  0.01446  -0.0554  0.0000   0.0000   0.0000   0.0000   0.0000   
-11.500  -0.9637  0.01785  0.01275  -0.0552  0.0000   0.0000   2.9222   0.0000   0.0000   
-11.000  -0.9445  0.01532  0.01019  -0.0541  0.0000   0.0000   0.0000   0.0000   0.0000   
-10.500  -0.9153  0.01389  0.00869  -0.0528  0.0000   0.0000   2.7202   0.0000   0.0000   
-10.000  -0.8637  0.01327  0.00793  -0.0537  0.0000   0.0000   0.0000   0.0000   0.0000   
-9.500   -0.8138  0.01244  0.00709  -0.0544  0.0000   0.0000   2.4514   0.0000   0.0000   
-9.000   -0.7575  0.01194  0.00659  -0.0554  0.0000   0.0000   0.0000   0.0000   0.0000   
-8.500   -0.6976  0.01175  0.00628  -0.0565  0.0000   0.0000   2.1765   0.0000   0.0000   
-8.000   -0.6387  0.01126  0.00581  -0.0579  0.0000   0.0000   0.0000   0.0000   0.0000   
-7.500   -0.5781  0.01100  0.00550  -0.0592  0.0000   0.0000   1.9673   0.0000   0.0000   
-7.000   -0.5150  0.01084  0.00529  -0.0607  0.0000   0.0000   0.0000   0.0000   0.0000   
-6.500   -0.4530  0.01076  0.00509  -0.0620  0.0000   0.0000   1.7916   0.0000   0.0000   
-6.000   -0.3896  0.01044  0.00482  -0.0638  0.0000   0.0000   0.0000   0.0000   0.0000   
-5.500   -0.3267  0.01035  0.00466  -0.0653  0.0000   0.0000   1.6344   0.0000   0.0000   
-5.000   -0.2622  0.01029  0.00456  -0.0669  0.0000   0.0000   0.0000   0.0000   0.0000   
-4.500   -0.1991  0.01035  0.00448  -0.0682  0.0000   0.0000   1.4885   0.0000   0.0000   
-4.000   -0.1346  0.01014  0.00430  -0.0700  0.0000   0.0000   0.0000   0.0000   0.0000   
-3.500   -0.0710  0.01011  0.00424  -0.0715  0.0000   0.0000   1.3481   0.0000   0.0000   
-3.000   -0.0069  0.01013  0.00421  -0.0730  0.0000   0.0000   0.0000   0.0000   0.0000   
-2.500   0.0572   0.01019  0.00420  -0.0744  0.0000   0.0000   1.2150   0.0000   0.0000   
-2.000   0.1197   0.01028  0.00419  -0.0756  0.0000   0.0000   0.0000   0.0000   0.0000   
-1.500   0.1850   0.01018  0.00417  -0.0774  0.0000   0.0000   1.1288   0.0000   0.0000   
-1.000   0.2484   0.01025  0.00421  -0.0787  0.0000   0.0000   0.0000   0.0000   0.0000   
-0.500   0.3104   0.01043  0.00431  -0.0798  0.0000   0.0000   1.2548   0.0000   0.0000   
0.000    0.3747   0.01049  0.00436  -0.0812  0.0000   0.0000   0.0000   0.0000   0.0000   
0.500    0.4373   0.01056  0.00441  -0.0823  0.0000   0.0000   1.3934   0.0000   0.0000   
1.000    0.4980   0.01075  0.00457  -0.0832  0.0000   0.0000   0.0000   0.0000   0.0000   
1.500    0.5617   0.01079  0.00467  -0.0845  0.0000   0.0000   1.5467   0.0000   0.0000   
2.000    0.6230   0.01097  0.00481  -0.0854  0.0000   0.0000   0.0000   0.0000   0.0000   
2.500    0.6806   0.01132  0.00504  -0.0856  0.0000   0.0000   1.7090   0.0000   0.0000   
3.000    0.7428   0.01137  0.00515  -0.0867  0.0000   0.0000   0.0000   0.0000   0.0000   
3.500    0.8023   0.01156  0.00536  -0.0873  0.0000   0.0000   1.8941   0.0000   0.0000   
4.000    0.8568   0.01195  0.00568  -0.0870  0.0000   0.0000   0.0000   0.0000   0.0000   
4.500    0.9159   0.01214  0.00590  -0.0874  0.0000   0.0000   2.0838   0.0000   0.0000   
5.000    0.9710   0.01246  0.00619  -0.0872  0.0000   0.0000   0.0000   0.0000   0.0000   
5.500    1.0195   0.01291  0.00657  -0.0859  0.0000   0.0000   2.2717   0.0000   0.0000   
6.000    1.0729   0.01316  0.00689  -0.0854  0.0000   0.0000   0.0000   0.0000   0.0000   
6.500    1.1149   0.01355  0.00730  -0.0828  0.0000   0.0000   2.4697   0.0000   0.0000   
7.000    1.1504   0.01429  0.00797  -0.0793  0.0000   0.0000   0.0000   0.0000   0.0000   
7.500    1.1980   0.01483  0.00853  -0.0780  0.0000   0.0000   2.6745   0.0000   0.0000   
8.000    1.2401   0.01558  0.00927  -0.0761  0.0000   0.0000   0.0000   0.0000   0.0000   
