QBlade CE v 2.0.6.4_beta windows

 Calculated polar for: AH 94-W-301

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000

alpha    CL       CD       CDp      Cm       TopXtr   BotXtr   Cpmin    Chinge   XCp      
------   ------   ------   ------   ------   ------   ------   ------   ------   ------   
-15.000  -1.2524  0.03764  0.03322  -0.0449  0.0000   0.0000   3.5388   0.0000   0.0000   
-14.500  -1.2332  0.03466  0.03013  -0.0452  0.0000   0.0000   3.4590   0.0000   0.0000   
-14.000  -1.2471  0.02914  0.02458  -0.0446  0.0000   0.0000   3.4282   0.0000   0.0000   
-13.500  -1.2477  0.02504  0.02038  -0.0439  0.0000   0.0000   3.3744   0.0000   0.0000   
-13.000  -1.2348  0.02182  0.01707  -0.0436  0.0000   0.0000   3.3048   0.0000   0.0000   
-12.500  -1.2145  0.01913  0.01430  -0.0434  0.0000   0.0000   3.2179   0.0000   0.0000   
-12.000  -1.2277  0.01479  0.00999  -0.0406  0.0000   0.0000   3.1858   0.0000   0.0000   
-11.500  -1.1841  0.01334  0.00843  -0.0426  0.0000   0.0000   3.0796   0.0000   0.0000   
-11.000  -1.1326  0.01177  0.00688  -0.0461  0.0000   0.0000   2.9629   0.0000   0.0000   
-10.500  -1.0757  0.01108  0.00617  -0.0484  0.0000   0.0000   2.8479   0.0000   0.0000   
-10.000  -1.0148  0.01077  0.00580  -0.0506  0.0000   0.0000   2.7277   0.0000   0.0000   
-9.500   -0.9538  0.01020  0.00527  -0.0531  0.0000   0.0000   2.6216   0.0000   0.0000   
-9.000   -0.8918  0.00977  0.00484  -0.0555  0.0000   0.0000   2.5162   0.0000   0.0000   
-8.500   -0.8283  0.00958  0.00459  -0.0578  0.0000   0.0000   2.4064   0.0000   0.0000   
-8.000   -0.7638  0.00940  0.00438  -0.0602  0.0000   0.0000   2.3031   0.0000   0.0000   
-7.500   -0.6992  0.00908  0.00408  -0.0628  0.0000   0.0000   2.2094   0.0000   0.0000   
-7.000   -0.6345  0.00880  0.00382  -0.0653  0.0000   0.0000   2.1135   0.0000   0.0000   
-6.500   -0.5697  0.00869  0.00366  -0.0677  0.0000   0.0000   2.0254   0.0000   0.0000   
-6.000   -0.5043  0.00860  0.00354  -0.0700  0.0000   0.0000   1.9374   0.0000   0.0000   
-5.500   -0.4383  0.00841  0.00336  -0.0725  0.0000   0.0000   1.8500   0.0000   0.0000   
-5.000   -0.3722  0.00820  0.00320  -0.0750  0.0000   0.0000   1.7700   0.0000   0.0000   
-4.500   -0.3066  0.00811  0.00309  -0.0774  0.0000   0.0000   1.6914   0.0000   0.0000   
-4.000   -0.2413  0.00809  0.00302  -0.0796  0.0000   0.0000   1.6148   0.0000   0.0000   
-3.500   -0.1758  0.00809  0.00297  -0.0817  0.0000   0.0000   1.5391   0.0000   0.0000   
-3.000   -0.1093  0.00796  0.00287  -0.0841  0.0000   0.0000   1.4728   0.0000   0.0000   
-2.500   -0.0428  0.00782  0.00279  -0.0865  0.0000   0.0000   1.4028   0.0000   0.0000   
-2.000   0.0232   0.00777  0.00276  -0.0887  0.0000   0.0000   1.3329   0.0000   0.0000   
-1.500   0.0884   0.00780  0.00274  -0.0907  0.0000   0.0000   1.2653   0.0000   0.0000   
