QBlade CE v 2.0.6.4_beta windows

 Calculated polar for: DU 99-W-350

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000

alpha    CL       CD       CDp      Cm       TopXtr   BotXtr   Cpmin    Chinge   XCp      
------   ------   ------   ------   ------   ------   ------   ------   ------   ------   
-15.000  -1.1530  0.04985  0.04599  -0.0243  0.0000   0.0000   3.1144   0.0000   0.0000   
-14.500  -1.1250  0.04735  0.04340  -0.0252  0.0000   0.0000   3.0598   0.0000   0.0000   
-14.000  -1.1174  0.04331  0.03934  -0.0255  0.0000   0.0000   3.0345   0.0000   0.0000   
-13.500  -1.0923  0.04064  0.03662  -0.0263  0.0000   0.0000   2.9827   0.0000   0.0000   
-13.000  -1.0651  0.03818  0.03412  -0.0270  0.0000   0.0000   2.9279   0.0000   0.0000   
-12.500  -1.0459  0.03515  0.03106  -0.0275  0.0000   0.0000   2.8837   0.0000   0.0000   
-11.500  -0.9907  0.03037  0.02619  -0.0288  0.0000   0.0000   2.7717   0.0000   0.0000   
-11.000  -0.9608  0.02818  0.02397  -0.0295  0.0000   0.0000   2.7117   0.0000   0.0000   
-10.500  -0.9238  0.02648  0.02221  -0.0305  0.0000   0.0000   2.6518   0.0000   0.0000   
-10.000  -0.9000  0.02393  0.01964  -0.0309  0.0000   0.0000   2.6192   0.0000   0.0000   
-9.500   -0.8632  0.02223  0.01791  -0.0318  0.0000   0.0000   2.5693   0.0000   0.0000   
-9.000   -0.8175  0.02116  0.01677  -0.0329  0.0000   0.0000   2.5085   0.0000   0.0000   
-8.500   -0.7921  0.01880  0.01441  -0.0333  0.0000   0.0000   2.4721   0.0000   0.0000   
-8.000   -0.7565  0.01718  0.01278  -0.0339  0.0000   0.0000   2.4246   0.0000   0.0000   
-7.500   -0.7277  0.01568  0.01124  -0.0334  0.0000   0.0000   2.3896   0.0000   0.0000   
-6.500   -0.6288  0.01349  0.00898  -0.0376  0.0000   0.0000   2.2792   0.0000   0.0000   
-6.000   -0.5708  0.01235  0.00783  -0.0413  0.0000   0.0000   2.2169   0.0000   0.0000   
