x/c,yu/c,y1/c
0.00006,0.00111,0.00111
0.00132,0.00573,-0.00443
0.00508,0.0125,-0.00832
0.01134,0.01967,-0.0119
0.02006,0.02717,-0.01499
0.03121,0.03494,-0.01753
0.04471,0.04284,-0.01962
0.06052,0.05076,-0.02132
0.07856,0.0586,-0.02264
0.09873,0.06623,-0.0236
0.12095,0.07353,-0.02427
0.1451,0.08039,-0.02465
0.17107,0.08667,-0.02477
0.19874,0.09223,-0.02466
0.22797,0.09696,-0.02436
0.25862,0.10074,-0.02391
0.29055,0.10344,-0.02333
0.32361,0.10491,-0.02263
0.35762,0.10507,-0.02184
0.39244,0.10386,-0.02096
0.42789,0.10131,-0.02004
0.4638,0.09751,-0.01908
0.5,0.09259,-0.01809
0.53633,0.08676,-0.01704
0.57259,0.0802,-0.01595
0.60863,0.07312,-0.01481
0.64426,0.06573,-0.01363
0.67932,0.0582,-0.01241
0.71363,0.05069,-0.01112
0.74704,0.04337,-0.00976
0.77938,0.03636,-0.00837
0.8105,0.02978,-0.00698
0.84025,0.02373,-0.00561
0.86848,0.01829,-0.0043
0.89507,0.01353,-0.00315
0.91987,0.0095,-0.0022
0.94278,0.00621,-0.00148
0.96368,0.00366,-0.00101
0.98248,0.00183,-0.00078
0.99908,0.00076,-0.0008
