x/c,yu/c,yl/c
0,0,0
0.00126,0.00761,-0.00669
0.00503,0.01549,-0.01302
0.0113,0.02388,-0.01925
0.02003,0.03251,-0.02549
0.03118,0.04137,-0.03154
0.0447,0.05038,-0.03752
0.06052,0.05935,-0.04339
0.07857,0.06813,-0.04908
0.09877,0.07659,-0.05453
0.12101,0.0846,-0.05961
0.14518,0.09205,-0.06425
0.17118,0.0988,-0.06839
0.19888,0.10474,-0.07193
0.22814,0.10972,-0.07471
0.25882,0.11359,-0.07666
0.29078,0.11624,-0.07769
0.32386,0.11758,-0.07768
0.35791,0.11754,-0.07647
0.39276,0.11616,-0.07394
0.42825,0.11355,-0.07012
0.46419,0.10985,-0.06505
0.50043,0.10516,-0.05881
0.53679,0.09963,-0.05173
0.57309,0.09341,-0.04418
0.60917,0.0866,-0.03644
0.64483,0.07934,-0.02883
0.67992,0.07183,-0.02162
0.71427,0.0642,-0.01504
0.74771,0.0566,-0.00924
0.78009,0.04916,-0.00431
0.81124,0.042,-0.00033
0.84101,0.03523,0.00266
0.86927,0.02885,0.00466
0.89588,0.02293,0.00574
0.92071,0.01754,0.00597
0.94364,0.01265,0.00532
0.96457,0.00822,0.00385
0.98338,0.00425,0.00178
1,0.00065,-0.00065
